																				
																					
													Mixed Door Cabinet								
Continental Refrigerator	Continental	DL1RS	DL1RS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	17.38	0	17.38	83.3	26	30.5	2.51	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL1RS-HD	DL1RS-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	17.33	0	17.33	83.3	26	30.5	2.51	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL1RS-PT	DL1RS-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	17.38	0	17.38	83.3	26	30.5	2.51	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RS-PT-HD	DL1RS-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	17.28	0	17.28	83.3	26	30.5	2.51	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RXS	DL1RXS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	24.26	0	24.26	83.3	36.3	30.5	3.01	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RXS-HD	DL1RXS-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	24.21	0	24.21	83.3	36.3	30.5	3.01	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL1RXS-PT	DL1RXS-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	24.26	0	24.26	83.3	36.3	30.5	3.01	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL1RXS-PT-HD	DL1RXS-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	24.16	0	24.16	83.3	36.3	30.5	3.01	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL2R	DL2R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	49.54	0	49.54	83.3	52	35.5	4.36	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL2R-HD	DL2R-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	49.44	0	49.44	83.3	52	35.5	4.36	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3R	DL3R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	73.16	0	73.16	83.3	78	35.5	5.75	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3RE	DL3RE		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	80.2	0	80.2	83.3	85.5	35.5	6	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3RE-HD	DL3RE-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	80.05	0	80.05	83.3	85.5	35.5	6	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3RE-PT	DL3RE-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	80.2	0	80.2	83.3	85.5	35.5	6	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3RE-PT-HD	DL3RE-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	12	Hinged	79.9	0	79.9	83.3	85.5	35.5	6	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3R-HD	DL3R-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	73.01	0	73.01	83.3	78	35.5	5.75	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3R-PT	DL3R-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	73.16	0	73.16	83.3	78	35.5	5.75	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	DL3R-PT-HD	DL3R-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	12	Hinged	72.89	0	72.89	83.3	78	35.5	5.75	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	MC3-DCW	MC3-DCW		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	13.21	0	13.21	41.5	34	33	2.19	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	MC3-SCW	MC3-SCW		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	13.21	0	13.21	41.5	34	33	2.48	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	MC4-DCW	MC4-DCW		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	19.79	0	19.79	41.5	49	33	2.1	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	MC4-SCW	MC4-SCW		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.79	0	19.79	41.5	49	33	2.84	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	MC5-DCW	MC5-DCW		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	23.74	0	23.74	41.5	58	33	2.64	R-134A	1/1/2010	10/19/2012
Continental Refrigerator	Continental	MC5-SCW	MC5-SCW		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	23.74	0	23.74	41.5	58	33	2.97	R-134A	1/1/2010	10/19/2012
"Daeyeong E&B Co., Ltd."	DAEYEONG E & B	DY-1220RNM	DY-1220RNM		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	42.7	0	42.7	76.9	53.9	31	3.36	R-134A	1/5/2002	9/21/2012
"Daeyeong E&B Co., Ltd."	DAEYEONG E & B	DY-610RNM	DY-610RNM		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.3	0	19.3	76.9	26.8	30	2.58	R-134A	1/5/2002	9/21/2012
"Daeyeong E&B Co., Ltd."	Lassele	LRT-23S	LRT-23S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.39	0	19.39	76.9	31	26.8	2.53	R-134A	1/13/2011	9/21/2012
"Daeyeong E&B Co., Ltd."	Lassele	LRT-49D	LRT-49D		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	43.64	0	43.64	76.9	31	31	3.96	R-134A	1/3/2011	9/21/2012
Danby Products Inc.	ColdTech	CRR229-1	CRR229-1		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.6	0	20.6	82.5	28.98	32.2	2.24	R-134A	3/25/2011	1/21/2013
Danby Products Inc.	ColdTech	CRR466-2	CRR466-2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.33	0	41.33	82.48	53.98	32.2	2.57	R-134A	3/25/2011	1/22/2013
Danby Products Inc.	ColdTech	CRR720-3	CRR720-3		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.46	0	66.46	82.48	80.87	32.2	3.58	R-134A	3/25/2011	1/22/2013
Danby Products Inc.	ColdTech	CUR063-27	CUR063-27		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	5.51	0	5.51	35.63	27.17	29.72	1	R-134A	3/25/2011	1/23/2013
Danby Products Inc.	ColdTech	CUR119-47	CUR119-47		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.2	0	11.2	35.63	47.24	29.72	1.59	R-134A	3/25/2011	1/23/2013
Danby Products Inc.	Danby	CRR229-1	CRR229-1		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.6	0	20.6	82.5	28.98	32.2	2.24	R-134A	3/25/2011	2/7/2013
Danby Products Inc.	Danby	CRR466-2	CRR466-2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.33	0	41.33	82.48	53.98	32.2	2.57	R-134A	3/25/2011	2/7/2013
Danby Products Inc.	Danby	CRR720-3	CRR720-3		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.46	0	66.46	82.48	80.87	32.2	3.58	R-134A	3/25/2011	2/7/2013
Danby Products Inc.	Danby	CUR063-27	CUR063-27		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	5.51	0	5.51	35.63	27.17	29.72	1	R-134A	3/25/2011	2/7/2013
Danby Products Inc.	Danby	CUR119-47	CUR119-47		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.2	0	11.2	35.63	47.24	29.72	1.59	R-134A	3/25/2011	2/7/2013
Duke Manufacturing Co.	Backcounter	RBC	RBC 60		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	12.4			36	91.4	29.5	1.93	R-134A	5/11/2004	4/7/2011
Duke Manufacturing Co.	Backcounter	RUF	RUF 48 M		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	17			36	91.4	29.5	2.78	R-134A	1/6/1995	4/7/2011
Electrolux Home Products	Arctic Air	Arctic Air	GDR22CWLF		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	20	20	0	70.6	32	29	3	R-134A	4/1/1999	2/18/2011
Electrolux Home Products	Arctic Air	Arctic Air	GDR22CWRF		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	20	20	0	70.6	32	29	3	R-134A	4/1/1999	2/18/2011
Electrolux Home Products	Arctic Air	Arctic Air	R22CWF		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18	0	18	70.6	32	29	1	R-134A	1/1/1996	2/18/2011
Electrolux Home Products	Frigidaire	Frigidaire	FCGM201RFB		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	20	20	0	70.6	32	29	3	R-134A	5/1/2012	2/18/2011
Electrolux Home Products	Frigidaire	Frigidaire	FCRS201LFB		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19	0	19	70.6	32	29	1	R-134A	5/1/2006	2/18/2011
Electrolux Home Products	Frigidaire	Frigidaire	FCRS201RFB		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19	0	19	70.6	32	29	1	R-134A	5/1/2006	2/18/2011
Electrolux Home Products	Gibson	Gibson	RR18R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18		18	70.6	32	29	1	R-134A	9/4/2012	9/4/2012
Electrolux Home Products	Kelvinator	Kelvinator	KGM220RHY		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	20	20	0	70.6	32	29	3	R-134A	12/1/2008	2/18/2011
Electrolux Home Products	Kelvinator	Kelvinator	KRS220RHY		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19	0	19	70.6	32	29	1	R-134A	12/1/2008	2/18/2011
Electrolux Home Products	Kelvinator	Kelvinator	KRS221LHY		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19	0	19	70.6	32	29	1	R-134A	12/1/2008	2/18/2011
Everest Import Distribution	GLOBAL 1ST PRODUCTS	GDC-1-22NRJ	GDC-1-22NRJ		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.55	8.55	0	67.72	21.65	23.07	1.98	R-134A	4/30/2011	9/21/2012
Everest Import Distribution	GLOBAL 1ST PRODUCTS	GDC-1-26NRJ	GDC-1-26NRJ		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	13.28	13.28	0	83.27	25.59	24.41	2.23	R-134A	4/30/2011	9/21/2012
Everest Import Distribution	GLOBAL 1ST PRODUCTS	GDC-1-27NRJ	GDC-1-27NRJ		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.9	22.9	0	83.27	28.35	31.89	3.4	R-134A	4/30/2011	9/21/2012
Everest Import Distribution	GLOBAL 1ST PRODUCTS	GDC-2-53NRJ	GDC-2-53NRJ		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	42.5	42.5	0	83.27	53.15	31.89	4.92	R-134A	4/30/2011	9/21/2012
Everest Import Distribution	GLOBAL 1ST PRODUCTS	SDC-1-29NRJ	SDC-1-29NRJ		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.6	0	20.6	82.5	28.98	32.2	2.24	R-134A	4/30/2011	9/21/2012
Everest Import Distribution	GLOBAL 1ST PRODUCTS	SDC-2-54NRJ	SDC-2-54NRJ		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.33	0	41.33	82.48	53.98	32.2	2.57	R-134A	4/30/2011	9/21/2012
Everest Import Distribution	GLOBAL 1ST PRODUCTS	SDC-3-81NRJ	SDC-3-81NRJ		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.46	0	66.46	82.48	80.87	32.2	3.58	R-134A	4/30/2011	9/21/2012
Excellence Industries	Excellence	EMM-2S	EMM-2S	"EMM-2SD,EMM-2SD,"	Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	1.78	1.78	0	19.69	17.2	19.69	1.11	R-134A	4/1/2012	12/19/2012
Excellence Industries	Excellence	EMM-3S	EMM-3S	"EMM-3SD,EMM-3SD,"	Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	2.52	2.52	0	27.17	17.24	20	1.17	R-134A	4/1/2012	12/19/2012
Excellence Industries	Excellence	EMM-4S	EMM-4S	"EMM-4SD,EMM-4SD,"	Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	3.41	3.41	0	32.87	18.9	18.9	1.52	R-134A	4/1/2012	12/19/2012
Excellence Industries	Excellence Commercial Products	CC-7-BEV	CTM-7		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	5.94			37.8	96	25	2.08	R-134A	7/13/2009	12/22/2011
Excellence Industries	Excellence Commercial Products	VR-10-G	VR-10-G		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.49			54	137.16	22.8	2.19	R-134A	4/19/2009	12/22/2011
Excellence Industries	Excellence Commercial Products	VR-12-G	VR-12-G		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	10.38			62	157.48	22.8	2.1	R-134A	4/19/2009	12/22/2011
Excellence Industries	Excellence Commercial Products	VR-26-G	VR-26-G		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.06			78	198.1	29.5	3.32	R-134A	6/14/2009	12/22/2011
Excellence Industries	Excellence Commercial Products	VR-45-SLD	VR-45-SLD		Glass Door Refrigerator Cabinet	Vertical		Manual	2	0	Sliding	38.6			55.44	140.8	29.5	5.77	R-134A	8/6/2011	12/22/2011
Fogel de Centroamerica S.A.	Fogel	CC-7-BEV	CC-7-BEV		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	5.94			37.8	96	25	2.08	R-134A	7/13/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	DECK-10	DECK-10		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.12			54	137.16	22.8	1.82	R-134A	9/17/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	DECK-12	DECK-12		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.97			62	157.48	22.8	1.85	R-134A	1/10/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	DECK-26	DECK-26		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.1			77.3	196.2	29.6	4.01	R-134A	11/15/2010	4/7/2011
Fogel de Centroamerica S.A.	Fogel	HC-12-US	HC-12		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	10.38			62	157.48	22.8	2.09	Other	12/18/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	VR-10-BEV	VR-10-BEV		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.49			54	137.16	22.8	2.19	R-134A	4/19/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	VR-12-BEV	VR-12-BEV		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	10.38			62	157.48	22.8	2.1	R-134A	4/19/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	VR-26-BEV	VR-26-BEV		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.06			78	198.1	29.5	3.32	R-134A	6/14/2009	4/7/2011
Fogel de Centroamerica S.A.	Fogel	VR-45-SD	VR-45-SD		Glass Door Refrigerator Cabinet	Vertical		Manual	2	0	Sliding	38.61			55.44	140.8	29.5	5.77	R-134A	8/6/2011	6/16/2011
"FoodServiceWarehouse.com, LLC"	FSW	FSW-1R-LX	FSW-1R-LX		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.3	0	19.3	76.9	26.8	30	2.58	R-134A	1/5/2002	9/21/2012
"FoodServiceWarehouse.com, LLC"	FSW	FSW-2R-LX	FSW-2R-LX		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	42.7	0	42.7	76.9	53.9	31	3.36	R-134A	1/5/2002	9/21/2012
"FoodServiceWarehouse.com, LLC"	FSW	FSW-STM23R	FSW-STM23R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.39	0	19.39	76.9	31	26.8	2.53	R-134A	1/13/2011	9/21/2012
"FoodServiceWarehouse.com, LLC"	FSW	FSW-STM49R	FSW-STM49R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	43.64	0	43.64	76.9	31	31	3.96	R-134A	1/3/2011	9/21/2012
Frigoglass North America	Frigoglass	Miracool	MC260-CC-CO2-E		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.38	9.38		54	24.5	26	1.97	Other	3/15/2012	9/20/2012
Frigoglass North America	Frigoglass	Miracool	MC260-CC-CO2-S		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.38	9.38		54	24.5	26	2.24	Other	3/15/2012	9/20/2012
Frigoglass North America	Frigoglass	Miracool	MC300-CC-CO2-E		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.94	11.94		62	24.5	26	2.18	Other	3/15/2012	9/20/2012
Frigoglass North America	Frigoglass	Miracool	MC300-CC-CO2-S		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.94	11.94		62	24.5	26	2.4	Other	3/15/2012	9/20/2012
Frigoglass North America	Frigoglass	Miracool	MC750-CC-CO2-E		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	25.74	25.74		78	30	32	3.9	Other	3/15/2012	9/20/2012
Frigoglass North America	Frigoglass	Miracool	MC750-CC-CO2-S		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	25.74	25.74		78	30	32	4.14	Other	3/15/2012	9/20/2012
Frigoglass North America	MiraCool by Frigoglass	MC1100S-1-B	MC1100S-1-B		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	38.82	38.82		78	43.5	32	4.68	R-134A	2/8/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC1100S-V2	MC1100S-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	38.82	38.82		78	43.5	32	5.45	R-134A	6/7/2011	9/20/2012
Frigoglass North America	MiraCool by Frigoglass	MC1300H	MC1300H		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	47.72	47.72		78	52	32	6.78	R-134A	9/23/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC1300H-V2	MC1300H-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	47.72	47.72		78	52	32	6.38	R-134A	1/31/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC1300S	MC1300S		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	46.96	46.96		78	52	32	6.46	R-134A	9/23/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC1300S-V2	MC1300S-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	46.96	46.96		78	52	32	5.93	R-134A	6/7/2011	9/20/2012
Frigoglass North America	MiraCool by Frigoglass	MC2000H-1-B	MC2000H-1-B		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Hinged	69.2	69.2		78	78	32	6.86	R-134A	9/23/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC2000S	MC2000S		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Sliding	64.96	64.96		78	78	32	8.63	R-134A	9/23/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC260-1-B	MC260-1-B		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.08	9.08		54	24.5	24	2.15	R-134A	2/8/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC260-CC	MC260-CC		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.38	9.38		54	24.5	25.5	1.98	R-134A	1/20/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC260-V2	MC260-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.38	9.38		54	24.5	25.5	2.41	R-134A	1/20/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC300-1-B	MC300-1-B		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.12	11.12		62	24.5	24	2.47	R-134A	2/8/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC300-CC	MC300-CC		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.94	11.94		62	24.5	25.5	2.34	R-134A	1/20/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC300-V2	MC300-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.9	11.9		62	24.5	25.5	2.4	R-134A	1/20/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC750-1-B	MC750-1-B		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	25.74	25.74		78	30	32	4.1	R-134A	2/8/2010	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC750-CC	MC750-CC		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	25.74	25.74		78	30	32	3.14	R-134A	1/20/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	MC750-V2	MC750-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	25.74	25.74		78	30	32	3.99	R-134A	1/20/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	Retro US	Retro US		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.38	9.38		74.4	19.5	26	2.47	R-134A	1/13/2011	10/19/2012
Frigoglass North America	MiraCool by Frigoglass	UR30-CC	UR30-CC		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	6.14			36.5	20.3	24.3	1.64	R-134A	3/14/2011	11/21/2012
Frigoglass North America	MiraCool by Frigoglass	UR30-ST	UR30-ST		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	6.14			36.5	20.3	26.63	1.77	R-134A	3/14/2011	11/21/2012
Frigoglass North America	MiraCool by Frigoglass	UR30-V2	UR30-V2		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	6.14	6.14		36.5	20.3	24.3	1.87	R-134A	3/14/2011	11/21/2012
Frigoglass North America	Mircool by Frigoglass	MC260-C02	MC260-C02		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	9.38			35.5	90.17	22.5	2.17	R744	1/24/2013	1/24/2013
Frigoglass North America	Mircool by Frigoglass	MC300-C02	MC300-C02		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	11.94			43.5	110.49	23.25	2.51	R744	1/24/2013	1/24/2013
Frigoglass North America	Mircool by Frigoglass	RERTO 400-C02	RETRO 400-C02		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	13.7			53.56	136.04	20.31	2.78	R744	1/24/2013	1/24/2013
"Guangdong Xingxing Refrigeration Equipment Co.,Ltd"	Xingxing	CFD-1RR	CFD-1RR		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.6	0	18.4	82.48	28.98	32.2	2.03	R134a	10/1/2012	1/15/2013
"Guangdong Xingxing Refrigeration Equipment Co.,Ltd"	Xingxing	CFD-2RR	CFD-2RR		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.33	0	29.29	82.48	5.4	32.2	3.2	R134a	10/1/2012	1/15/2013
"Guangdong Xingxing Refrigeration Equipment Co.,Ltd"	Xingxing	G1.2YBM2F	G1.2YBM2F		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	42.5	42.5	0	83.27	53.15	31.89	4.88	R134a	11/14/2012	1/15/2013
"Guangdong Xingxing Refrigeration Equipment Co.,Ltd"	Xingxing	G258BMF	G258BMF		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	8.55	8.55	0	67.72	21.65	23.07	2.23	R134a	9/25/2012	1/15/2013
"Guangdong Xingxing Refrigeration Equipment Co.,Ltd"	Xingxing	G648BMF	G648BMF		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.99	22.99	0	83.27	28.35	31.89	3.81	R134a	11/1/2012	1/15/2013
H&K International Inc.	H&K International	HCPPT-01**	HCPPT-01**		Solid Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	8	0	0.57	18.5	43.25	34	1.86	R-134A	8/1/2012	9/20/2012
H&K International Inc.	H&K International	HCPPT-02*	HCPPT-02*		Solid Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	8	0	0.57	18.5	43.25	34	2.02	R-134A	8/1/2012	9/20/2012
HMC Enterprises LLC	Howard-McCray	GR102BM-S	GR102BM-S	"GR102BM-B,GR102BM-B,; GR102BM-BE,GR102BM-BE,; GR102BM-BI,GR102BM-BI,; GR102BM-CS,GR102BM-CS,; GR102BM-H,GR102BM-H,; GR102BM-L,GR102BM-L,; GR102BM-LED,GR102BM-LED,; GR102BM-LH,GR102BM-LH,; GR102BM-SB,GR102BM-SB,; GR102BM-SE,GR102BM-SE,; GR102BM-SI,GR102BM-SI,; GR102BM-SP,GR102BM-SP,; GR102BM-W,GR102BM-W,; GR102BM-WE,GR102BM-WE,; GR102BM-WI,GR102BM-WI,"	Glass Door Refrigerator Cabinet	Vertical		Automatic	4	0	Hinged	99.28	99.28	0	83	103.75	36	12.26	R134a	2/9/2013	2/1/2013
HMC Enterprises LLC	Howard-McCray	GR48BM-S	GR48BM-S	"GR48BM-B,GR48BM-B,; GR48BM-BE,GR48BM-BE,; GR48BM-BI,GR48BM-BI,; GR48BM-CS,GR48BM-CS,; GR48BM-H,GR48BM-H,; GR48BM-L,GR48BM-L,; GR48BM-LED,GR48BM-LED,; GR48BM-LH,GR48BM-LH,; GR48BM-SB,GR48BM-SB,; GR48BM-SE,GR48BM-SE,; GR48BM-SI,GR48BM-SI,; GR48BM-SP,GR48BM-SP,; GR48BM-W,GR48BM-W,; GR48BM-WE,GR48BM-WE,; GR48BM-WI,GR48BM-WI,"	Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	48.35	48.35	0	82.25	52.25	33.88	6.87	R134a	2/9/2013	2/6/2013
